created_at,text
2021-12-03 7:37:26,"RT @LammaticHama: I think what people miss about Milennials is we used to believe

We believed in Obama so hard

And the second he got in h…"
2021-12-03 7:37:23,"@AEcho13 @apothecarymary @MrSIowJam @briebriejoy 1. Right, so you're saying Obama should have murdered or harassed… https://t.co/9oPxDVwifQ"
2021-12-03 7:37:18,@Kym_F @eddiek005 @mtgreenee Obama increased the debt by 8.6 trillion in eight years (two term president). Trump in… https://t.co/u3SRWh2hYW
2021-12-03 7:37:17,"@OneNationCon Mikhail Gorbachev was a traitor in the context of the USSR, and played a big role in its collapse, th… https://t.co/H7qzz7ZrU1"
2021-12-03 7:37:08,RT @VABVOX: There are folks in my mentions still claiming in 2021-- after all we know--that Hillary Clinton was more dangerous than Trump.…
2021-12-03 7:37:07,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:37:04,RT @15poundstogo: Apparently the Wayback stopped working. Here is the article as it stands today. Almost five years old. https://t.co/cZoNO…
2021-12-03 7:36:55,"@AssalRad Getting billions of dollars for lying, thanks Obama!"
2021-12-03 7:36:33,"Phill Swift, Alex Jones, Barrack Obama got the diiiiaaarrrrhoeeeeaaaaaa!"
2021-12-03 7:36:29,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:35:58,"RT @jholtham: The right has completely given up on winning hearts and minds. After Obama got elected, they fell back to their Reconstructio…"
2021-12-03 7:35:57,"RT @ggreenwald: Having lived through the Bush-to-Obama handoff, 2 things were obvious once Biden won:

1) He would continue most of Trump's…"
2021-12-03 7:35:38,"Obama broke his promise to codify Roe V Wade day one of his presidency. Hillary ran with Tim Kaine. But yeah, it's… https://t.co/H0gN1MF6j4"
2021-12-03 7:35:37,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:35:11,RT @heluvtat: gonna tell my kids this was obama https://t.co/nvx2KPeM8N
2021-12-03 7:35:09,@cnorman254 @eddiek005 @mtgreenee And you cant use Covid as an excuse either because Obama became president in 2008… https://t.co/HKKXK9rNML
2021-12-03 7:35:07,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:34:58,"LumpyPumpkinz
blocked me for daring to point the truth. Hill was a terrible candidate. Obama could have pushed for… https://t.co/MXgE5IWefc"
2021-12-03 7:34:56,"RT @fOrGiVeNcHy: Libya blossomed under Pan-Africanist Gaddafi until the U.S. bombed Libya back to the Stone Age

Obama calls #Libya his “wo…"
2021-12-03 7:34:49,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:34:47,@cnorman254 @eddiek005 @mtgreenee Obama racked up 8.6 trillion in 8 years while Trump racked up 6.7 trillion in 4 y… https://t.co/kLfXzajb40
2021-12-03 7:34:44,I can’t get my brain round the US system. Can anyone explain in child terms how the Obama nominations were blocked… https://t.co/mGeYZgY7rx
2021-12-03 7:34:25,@ArneAlvarado Biden logic. School of Obama insanity.
2021-12-03 7:34:22,"RT @AxLizzie: @AlishaGrauso @amywestervelt When my state (Iowa) endorsed Obama over Clinton in 2008, a lot declared it a sign we'd progress…"
2021-12-03 7:34:10,"RT @cchukudebelu: Jack Dorsey (@Jack), has done more to advance the cause of freedom of expression, democracy and human rights in Nigeria o…"
2021-12-03 7:34:08,"The victim is Wynaut Obama
The culprit is Querco Alba
The defendant is Male Nurse
The witness is pichuis
The defens… https://t.co/365dlMJ0zW"
2021-12-03 7:34:04,@2020GTOY People gathered in town halls across the nation to unanimously demand that Obama deliver single-payer hea… https://t.co/z8H5Cuh642
2021-12-03 7:33:58,"RT @JKSteinberger: ""Climate change doesn't get sexier than this. Not that I'm saying Greta is sexy. Or Obama. Actually - Obama, who wouldn'…"
2021-12-03 7:33:54,"RT @fOrGiVeNcHy: Libya blossomed under Pan-Africanist Gaddafi until the U.S. bombed Libya back to the Stone Age

Obama calls #Libya his “wo…"
2021-12-03 7:33:53,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:33:52,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:33:49,Susan Sarandon has never held office but RGB could have retired during the Obama years
2021-12-03 7:33:15,See them kickout haspital see usa no haelhtcare  obama put obama heathcarw al kickout    trap  doing carbes
2021-12-03 7:33:02,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:32:44,RT @TXLADY7061: Obama and Fauci - says it all https://t.co/JzXyuBPSO6
2021-12-03 7:32:38,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:32:38,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:32:25,https://t.co/yv4h9t8Hal : c015fbaa-731c-4786-acdc-8906c9948273
2021-12-03 7:32:19,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:32:18,"RT @BaddCompani: Today I'm a Happy Man. Here me out.
In 2011 Obama did an Executive Order on the Mob. He hired Bobby III Sticks to head tha…"
2021-12-03 7:32:07,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:31:26,Bark Obama the crazy mastiff loves to gut my cake
2021-12-03 7:31:06,"RT @Nher_who: Today in Supreme Court, UP govt said that polluted air is mostly coming from Pakistan

to which CJI replied ""Should we ban in…"
2021-12-03 7:30:46,"RT @MohammedMahmude: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won…"
2021-12-03 7:30:40,"RT @dilanpcook: questions for those blaming voters
1. why didn’t Dems codify Roe when they had a supermajority in 09-10 after Obama ran on…"
2021-12-03 7:30:35,@kazadorI @LibertyLudens rbg used up all the narcissism on not retiring under obama
2021-12-03 7:30:29,RT @richardaeden: This amused me. #royal #obama https://t.co/e7JoG3YKmW
2021-12-03 7:30:19,"RT @MohammedMahmude: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won…"
2021-12-03 7:30:17,@LumpyPumpkinz @kath_krueger weird hill did way less campaigning for obama than Bernie did for hill.
2021-12-03 7:30:08,"RT @calebmaupin: The same celebrities who got shrill &amp; full of performative rage over Jussie Smollete’s fake hate crime....

...were silent…"
2021-12-03 7:30:02,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:29:46,"RT @Sander_Lab: “We are just getting through the holiday season and we have one more thing to be thankful for, which is that we can get kid…"
2021-12-03 7:29:41,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:29:38,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:29:02,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:29:00,"@Moche1231 @bog_beef Correct, but the election was extremely close. Knowing Obama buddy, Gillum, a married “family… https://t.co/4hV2JmXR8B"
2021-12-03 7:28:54,RT @AdamBlickstein: In 08 I was running comms at a progressive national security group. When we went to donors &amp; funders to sustain us afte…
2021-12-03 7:28:52,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:28:47,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:28:40,"RT @AdamBlickstein: After Reagan won in 80 GOP megadonors, think tanks, &amp; outside groups invested heavily in right wing political &amp; media i…"
2021-12-03 7:28:39,RT @ggreenwald: The reason I quickly built a large readership when I began writing about politics in 2005 was so many Dems loved my work de…
2021-12-03 7:28:27,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:28:27,"RT @Wizarab10: She was a Standford graduate working at a top Law Firm earning $120,000. He was a bright student and President of Harvard La…"
2021-12-03 7:28:26,RT @CyresKenneth: Imagine if we supported Kanye like y’all supported Obama
2021-12-03 7:28:09,RT @richardaeden: This amused me. #royal #obama https://t.co/e7JoG3YKmW
2021-12-03 7:28:09,"@Obama_revival no 
usually the island i live on aint get this much snow its rare i just hate it"
2021-12-03 7:27:46,"RT @loosenyourhold: To the neolibs complaining about us turning into a real-life version of The Handmaid’s Tale:

Maybe if you hadn’t turne…"
2021-12-03 7:27:33,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:27:30,RT @republicansnark: @plzbepatient The Undergrad Obama Gambit
2021-12-03 7:27:27,YO YO YO! My name is OBAMA and I want to see your pits!
2021-12-03 7:27:22,"RT @ramsincanon: People forget that those Obama hundred days were a blank check. Popular rage was near unanimous. His mandate was immense,…"
2021-12-03 7:27:20,@JoeyMil31848960 @ericgarland If only. People don't want facts on the left. I mean look at the fraud obama and bide… https://t.co/8OhBNijf3a
2021-12-03 7:27:12,"The Ghislaine Maxwell case begins with a Obama Judge Alison Nathan, who already blocked some content from the media… https://t.co/t0mKlX6Rx7"
2021-12-03 7:26:45,RT @ggreenwald: The reason I quickly built a large readership when I began writing about politics in 2005 was so many Dems loved my work de…
2021-12-03 7:26:43,"RT @ramsincanon: People forget that those Obama hundred days were a blank check. Popular rage was near unanimous. His mandate was immense,…"
2021-12-03 7:26:41,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:26:34,"RT @IsmatAraa: Just in: 

UP govt. tells Supreme Court that polluted air is mostly coming from Pakistan. 

CJI NV Ramana: So you want to ba…"
2021-12-03 7:26:29,@GoodPoliticGuy If… more excuses dems don’t have power wd hv emerged..Obama with more exasperation
2021-12-03 7:26:26,RT @richardaeden: This amused me. #royal #obama https://t.co/e7JoG3YKmW
2021-12-03 7:26:07,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:26:04,RT @jamestk789: Obama the spy 🕵️‍♂️ gave Iran 🇮🇷 all our cash 💰 money 💵
2021-12-03 7:25:48,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:25:48,"RT @dilanpcook: questions for those blaming voters
1. why didn’t Dems codify Roe when they had a supermajority in 09-10 after Obama ran on…"
2021-12-03 7:25:42,"RT @ggreenwald: Having lived through the Bush-to-Obama handoff, 2 things were obvious once Biden won:

1) He would continue most of Trump's…"
2021-12-03 7:25:40,RT @DEAcampaign: “If you are not going to prosecute #journalists for #publishing classified information which the [Obama Justice] Departmen…
2021-12-03 7:25:35,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:25:26,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:25:24,"RT @ggreenwald: Having lived through the Bush-to-Obama handoff, 2 things were obvious once Biden won:

1) He would continue most of Trump's…"
2021-12-03 7:25:21,RT @johncarlbaker: Seems undeniable to me that the real opportunity to reform what passes for American democracy was the early months of th…
2021-12-03 7:25:15,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:24:59,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:24:51,"RT @dilanpcook: questions for those blaming voters
1. why didn’t Dems codify Roe when they had a supermajority in 09-10 after Obama ran on…"
2021-12-03 7:24:25,RT @heluvtat: gonna tell my kids this was obama https://t.co/nvx2KPeM8N
2021-12-03 7:23:52,RT @richardaeden: This amused me. #royal #obama https://t.co/e7JoG3YKmW
2021-12-03 7:23:42,"@bejoan5 @JeffSherbekow @donwinslow @POTUS Ding, ding, ding. It's also why Obama selected him as a Supreme Coury no… https://t.co/rmmLmSDL03"
2021-12-03 7:23:33,RT @heluvtat: gonna tell my kids this was obama https://t.co/nvx2KPeM8N
2021-12-03 7:23:28,"@TrinityMustache Always felt that way with the Obama’s and especially the Clinton’s, that Hillary chose to fight fo… https://t.co/Y0RpLPyX8T"
2021-12-03 7:23:24,"RT @meinmelbourne: CIA Report Shows Trump Abandoned His Duty as Commander in Chief. Helgerson notes that Trump, “by his own account, did no…"
2021-12-03 7:23:22,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:23:05,RT @heluvtat: gonna tell my kids this was obama https://t.co/nvx2KPeM8N
2021-12-03 7:23:03,"RT @ramsincanon: People forget that those Obama hundred days were a blank check. Popular rage was near unanimous. His mandate was immense,…"
2021-12-03 7:22:59,@StephenKing You mean Clinton &amp; Obama?
2021-12-03 7:22:55,"@JradRabel 1. FDR
2. Woodrow Wilson
3. LBJ
4. Barack Obama
5. Theodore Roosevelt
6. James Buchanan
7. Richard Nixon… https://t.co/wUCmDGCx6Z"
2021-12-03 7:22:48,"RT @ShirlAAdams: @daveweigel Missing *context. It's true RBG could have retired at 80, or any time, but there's little evidence to support…"
2021-12-03 7:22:43,RT @VariantTiresias: @dpakman If Obama had kept his promise in 2008 it would be enshrined in law right now. Change my mind. https://t.co/Z6…
2021-12-03 7:22:43,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:22:31,"@Owarlmonogatari Let's switch living place then, I hate heat and sun, I prefer cold and snow so living in the south is a real pain x)"
2021-12-03 7:22:30,RT @tonetalks: Thanks to @eurweb for covering my show. Wealth 101 https://t.co/OvuCxWyhQd
